Data Broker Name:,Registration ID:,Status:,Business Type:,Created Date:,Next Renewal Period Begins:,Termination Date:,Address:,Email Address:,Primary Internet Address:,"3. Does the data broker permit a consumer to opt out of the data broker’s collection of brokered personal information, opt out ofits databases or opt out of certain sales of data? :",a. What was the method for requesting an opt-out?,"b. If the opt-out applied to only certain activities or sales, which ones?",c. Does the data broker permit a consumer to authorize a third party to perform the opt-out on the consumer’s behalf?,"4. Statement specifying the data collection, databases or sales activities from which a consumer may not opt out:",5. Statement regarding whether the data broker implements a purchaser credentialing process:,6. The number of security breaches that the data broker experienced during the prior year:,  a. Total number of consumers affected by the breaches:,7. Does the data broker have actual knowledge that it possesses the brokered personal information of minors:,"If so, provide a statement detailing the data collection practices, databases, sales activities, and opt-out policies that are applicable to the brokered personal information of minors:",8. Any additional information or explanation the data broker chooses to provide concerning its data collection practices:
"NFocus Consulting, Inc.",367891,ACTIVE,Data Broker,1/31/2020,1/1/2021,2/1/2021,"1594 Hubbard Dr., Lancaster, OH, 43130, USA",consumer@n-focus.com,www.n-focus.com,Yes,"Consumers may request to opt-out of sales of data via phone, direct mail or email.",NFocus Consulting’s opt-out policies apply to the sale of information through NFocus branded sites.,"Yes, if appropriate documentation is provided in support of said authorization.","NFocus Consulting cannot prevent opt-out records from appearing in new or updated data files. When a consumer submits an opt-out request, his/her name and address are added to a consumer suppression database to prevent the future sale of the requestor’s information.",NFocus Consulting takes appropriate steps to ensure all new clients are a valid business.,0,0,Yes,"While NFocus Consulting possesses BPI about a household it does not maintain PII of minors. Data elements are used to build insights concerning an adult parent, a household and even a geographical unit. This information is then used to identify target audiences for marketing efforts. Orders include records for a household or an adult residing in a household. NFocus does not maintain names or identifying numbers for minors nor can data elements present be reasonably linked to a specified minor.",Consumers will be able to find additional information by visiting n-focus.com.
"Inmar-OIQ, LLC (assignee in interest to OwnerIQ, Inc.)",367894,ACTIVE,Data Broker,1/31/2020,1/1/2021,2/1/2021,"635 Vine Street, Winston-Salem, NC, 27101, USA",privacy@owneriq.com,www.owneriq.com/privacy,Yes,"There are three ways: 1) Clicking the opt out link in our privacy notice, 2) Choosing our company in the self-regulatory industry opt out platforms through NAI and DAA, 3) Click on the AdChoices icon when the online ad is delivered and choosing to opt out.",The opt out is applied to using online browsing data to determine which ads to place.,"Only third parties which integrate a digital advertising opt out code.  Our opt out cookie is tied to the computer browser.  The opt out technology must be able to take our opt out cookie and replace it with a blank opt out cookie our systems will recognize.  The NAI, DAA, and TrustArc can facilitate this.","The opt out does not apply to Ad Delivery and Reporting, as described in the NAI Code of Conduct (https://www.networkadvertising.org/code-enforcement/code).","Yes, we work with companies which abide by the NAI Code of Conduct.",0,0,No,,
"Rental Property Solutions, LLC",352844,ACTIVE,Data Broker,1/31/2019,1/1/2021,2/1/2021,"3001 Hackberry Rd, Irving, TX, 75063, USA",dghazaleh@corelogic.com,www.corelogic.com,No,,,,None,"Yes, Rental Property Solution LLC clients are credentialed.",0,0,Yes,The system will not process data requests for consumers under the age of 18.,Not Applicable.
"Oracle America, Inc. (Oracle Data Cloud)",352759,ACTIVE,Data Broker,1/30/2019,1/1/2021,2/1/2021,"500 Oracle Parkway, Redwood Shores, CA, 94065, USA",privacy_ww@oracle.com,www.oracle.com,Yes,"The Oracle Data Cloud (“ODC”) provides opt-out options in the ODC Privacy Policy, available at https://www.oracle.com/legal/privacy/marketing-cloud-data-cloud-privacy-policy.html#12. Consumers can opt-out of the use of brokered personal information (referred to as “offline data” in the ODC Privacy Policy) by the ODC by opting out at https://datacloudoptout.oracle.com/.","The ODC opt-out for brokered personal information applies to the following activities. Upon opt-out, brokered personal information is not used by the ODC to enable targeted advertising; to measure campaign effectiveness; to provide site and advertising optimization, email personalization and dynamic marketing; to link profiles and segments across the various browsers and/or devices; and to allow ODC customers to deliver catalogues to physical addresses based on previous purchase behavior.","Yes, the ODC will process opt-out requests submitted by third parties who can demonstrate adequate authority to request the opt-out on the consumer’s behalf.","The ODC Privacy Policy states that the opt-out for brokered personal information does not apply to certain internal security, research and development activities, to manage the security of our sites, networks, and systems, and to comply with applicable laws and regulations, such as to preserve an opt-out request from a consumer.",N/A,0,0,Yes,"The ODC does not intentionally collect personal information from, and does not tailor any services to, children under 16 years of age. Further, we prohibit our ODC partners from providing Oracle with personal information from sites directed to children under the age of 16 or from consumers whose age these companies know to be under the age of 16. If we become aware of data on children under 16 years of age, we take steps to remove the data from our databases.",Detailed information on the ODC’s processing practices for consumer data is available at https://www.oracle.com/legal/privacy/marketing-cloud-data-cloud-privacy-policy.html.
R. L. Polk & Co.,367911,ACTIVE,Data Broker,1/31/2020,1/1/2021,2/1/2021,"26533 Evergreen, Ste. 1100, Southfield, MI, 48076, USA",bruce.noll@ihsmarkit.com,www.polk.com,Yes,"Email, U.S. Mail or telephone.",The opt out applies to our marketing database.,No.,"The opt out only applies to our marketing database, not to any database relating to safety, regulatory or statutory matters.",Customers are vetted for appropriate security measures required by policy and law.,0,0,No,,None.
"Experian Marketing Solutions, LLC",367915,ACTIVE,Data Broker,1/31/2020,1/1/2021,2/1/2021,"955 American Lane, Schaumburg, IL, 60173, USA",NA,www.experian.com,Yes,"Email, mail, phone, online web portal, DAA Adchoices",OmniActivation Strategic Services (full-service managed campaign services)Direct MailTelemarketingExperian Permission-Based Email DatabaseOnline Targeted AdvertisingPartner Programs,"Yes, a third party can request to opt-out on the consumer’s behalf if the opt-out request is accompanied by sufficient evidence that the third-party is authorized to act on behalf of the consumer. This would be applicable for DMAChoice and DMA Telephone Services, as well as Partner Programs.","Experian collects information from sources including self-reported consumer survey information, aggregated consumer panel data, information from websites and mobile apps, and public records and historical retail purchases. We also have consumer information that is inferred from other data using statistical analysis. Our data quality practices include careful screening of data sources, ongoing internal audits and appropriate consumer notice and choice.",Experian Marketing Solutions has a membership/credentialing process in which all clients must undergo prior to being onboarded. Clients are vetted in accordance with OFAC and other internal alert lists before allowing the client to proceed with obtaining any information.,0,0,Yes,"See Response Attached Below within ""Other Provisions"" section",
"Experian Fraud Prevention Solutions, Inc.",352814,ACTIVE,Data Broker,1/31/2019,1/1/2021,2/1/2021,"475 Anton Blvd, Costa Mesa, CA, 92626, USA",NA,www.experian.com,No,,,,"Experian Fraud Prevention Solutions is a consumer reporting agency that operates the National Fraud Database and only provides data as permitted under the Fair Credit Reporting Act. Because the National Fraud database does not provide credit reporting data for use in prescreened firm offers of credit, it does not provide for an opt out of those services under the FCRA.","Experian Fraud Prevention Solutions clients must undergo a credentialing review process prior to being onboarded as a client. Clients are vetted in accordance with the Fair Credit Reporting Act (15 U.S.C. § 1681e(a)), OFAC and other internal lists such as our Customer Alerts List.",0,0,Yes,Experian Fraud Prevention Solutions does not knowingly collect minor data.,
"Experian Information Solutions, Inc.",352780,ACTIVE,Data Broker,1/31/2019,1/1/2021,2/1/2021,"475 Anton Blvd, Costa Mesa, CA, 92626, USA",NA,www.experian.com,Yes,Toll Free Number or Online,"The opt-out only applies to the sale of the consumer’s information pursuant to Section 604(c)(1)(B) of the Fair Credit Reporting Act in connection with a credit transaction that is not initiated by the consumer (i.e., a “firm offer of credit” or “prescreen offering” ).","Yes, a third party can request the opt-out on the consumer’s behalf if the opt-out request is accompanied by sufficient evidence that the third-party is authorized to act on behalf of the consumer.","The consumer opt-out only applies to the use of data for prescreen offers of credit pursuant to Section 604(c)(1)(B) of the Fair Credit Reporting Act and does not apply to other uses of data pursuant to the FCRA, Gramm-Leach-Bliley Act or any other use permitted by law.","All purchasers looking to obtain data from Experian Information Solutions, Inc. undergo a robust vetting process in accordance with the Fair Credit Reporting Act (15 U.S.C. § 1681e(a)), Gramm Leach Bliley Act 6802, OFAC and any internal client alert lists prior to the setup, access, and release of data.",0,0,Yes,"Experian collects personal information of a minor (under the age of 18) if a parent or guardian contacts Experian with a request to place a freeze on a minor file pursuant to Section 301(j) of the Economic Growth, Regulatory Relief and Consumer Protection Act. Following such a request, Experian creates a credit file and places a credit freeze for the minor consumer.  It also flags the file in the database as minor file which means that the file will not be displayable until consumer reaches 18.","Experian also collects and maintains a database of personally identifiable data derived from U.S. Departments of Motor Vehicles, called the North American Vehicle Database. This database is operated in accordance with the Driver’s Privacy Protection Act and therefore, consumer opt-outs do not apply to uses of the data pursuant to the Driver’s Privacy Protection Act. Experian does not have knowledge of any possession of minors’ personal information in its North American Vehicle Database."
"Experian Health, Inc.",352783,ACTIVE,Data Broker,1/31/2019,1/1/2021,2/1/2021,"720 Cool Spring Blvd, Suite 200, Franklin, TN, 37067, USA",NA,www.experian.com,No,,,,As defined by FCRA 603 (u)(1)(2) Experian Health is a reseller of data that assembles and merges information contained in the databases of another consumer reporting agency or multiple consumer reporting agencies and does not maintain a database of the assembled or merged information from which new consumer reports are produced. Any consumer opt-out of that data would occur with the originating CRA.,"All purchasers looking to obtain data from Experian Health, Inc. undergo a robust vetting process in accordance with the Fair Credit Reporting Act (15 U.S.C. § 1681e(a)), Gramm Leach Bliley Act 6802, OFAC and internal client alert lists prior to the setup, access, and release of data.",0,0,No,,NA
"Skipsmasher, Inc.",368025,ACTIVE,Data Broker,2/4/2020,1/1/2021,2/1/2021,"PO Box 891329, Temecula, CA, 92589, USA",info@skipsmasher.com,skipsmasher.com,Yes,Click link on homepage.,No,Yes,Non except criminal records.,"Yes. Only verified, credentialed business users may use our service.",0,0,No,,"We do not own or store personal information of any consumers, including those from Vermont."
Kochava Inc.,368030,ACTIVE,Data Broker,2/4/2020,1/1/2021,2/1/2021,"201 Church St, Sandpoint, ID, 83864, USA",support@kochava.com,http://www.kochava.com/,Yes,Emailed request to privacy@kochava.com (noted publicly at http://www.kochava.com/support-privacy),N/A - opt-out applies to all,"Yes, as also described at http://www.kochava.com/support-privacy/ (eg: limit-ad-tracking, etc).",N/A - there are no activities for which a consumer may opt out,We do not have a formal credentialing process for our purchasers,0,0,No,,
INTELLIREAL LLC,353286,ACTIVE,Data Broker,2/11/2019,1/1/2021,2/1/2021,"1550 Peachtree Street N.W., Atlanta, GA, 30309, USA",USPrivacy@equifax.com,www.equifax.com or https://www.equifax.com/business/property-data-and-analytics/,No,,,,"IntelliReal LLC provides real estate intelligence software solutions in the form of data analytics & automated property valuations to the financial services market. The company manages various data related to residential properties & housing communities in the US. It serves banks, mortgage servicers, GSEs, & real estate companies through resellers & partners.  The majority of the data provided is regarding real estate property & would include the address and names of current & previous owners.",See additional information in the supplemental attachment.,0,0,No,,n/a
IXI CORPORATION,353288,ACTIVE,Data Broker,2/11/2019,1/1/2021,2/1/2021,"1550 Peachtree Street, N.W., Atlanta, GA, 30309, USA",USPrivacy@equifax.com,www.equifax.com,No,,,,See supplemental information in additional attachment.,See supplemental information in additional attachment.,0,0,No,,none.
Gale,368126,ACTIVE,Data Broker,2/6/2020,1/1/2021,2/1/2021,"27500 Drake Road, Farmington Hills, MI, 48331, USA",privacy@cengage.com,www.gale.com,Yes,Consumer can visit www.gale.com/privacy or email privacy@cengage.com,N/A,Yes,N/A,No,0,0,No,,Consumers can visit www.gale.com/privacy for more information on data collection practices.
"Neustar, Inc.",370100,ACTIVE,Data Broker,3/31/2020,1/1/2021,2/1/2021,"21575 Ridgetop Circle, Sterling, VA, 20166, USA",privacy@team.neustar,home.neustar,Yes,on and off line,all,with proper authorization,"Processing for other than marketing purposes undertaken on behalf and at the direction of a third party (e.g., Caller Name, Directory Listings, certain fraud/risk activities",NA,0,0,No,,Please see our Privacy Statement for additional information: https://www.home.neustar/privacy. Additional opt-out information is available here: https://www.home.neustar/privacy/opt-out
"NOVA List Company, LLC",370639,ACTIVE,Data Broker,4/16/2020,1/1/2021,2/1/2021,"20130 LAKEVIEW CENTER PLAZA SUITE 300, ASHBURN, VA, 20147, USA",info@novalist.com,https://www.novalist.com/,Yes,"Website, telephone, fax or email",Opt-out applies to all,Yes,Our opt outs apply only to files that we manage to help our client contact potential new donors or members.,"We seek to work with only reputable organizations and try to work with partners are who are affiliated with Direct Marketing Association of Washington (DMAW), the Association of National Advertisers (ANA) or The Nonprofit Alliance.",0,0,No,,
Infutor Data Solutions LLC,371189,ACTIVE,Data Broker,5/1/2020,1/1/2021,2/1/2021,"One Lincoln Center, 18W140 Butterfield R, Oakbrook Terrace, IL, 60181, USA",infutorvendorinfo@infutor.com,https://infutor.com,Yes,"The primary Opt-Out avenue is accessed through Infutor’s website, in the Data Privacy link. A consumer may submit the requested information, and the Opt-Out process will be initiated. The link can be found at: https://infutor.com/company/data-privacy/Additionally, Infutor accepts verified Opt-Out requests via telephone, email, and USPS, although we prefer to route these requests through the above website link.",All,If they are an authorized agent,"The only Consumer data retained is that which is used internally to meet the Opt-Out requirements on an ongoing basis; that is, to identify and prevent the re-introduction of that Consumer’s data. This “suppression” information is strictly used for internal purposes, and never sold or forwarded in any manner.","Purchaser credentialing is established in the sales process and contractual language. Additionally, Infutor is establishing a follow-up audit process to ensure that credentials remain effective.",0,0,No,,
"Giant Partners, Inc.",371596,ACTIVE,Data Broker,5/12/2020,1/1/2021,2/1/2021,"1461 Lawrence Dr, Thousand Oaks, CA, 91320, USA",compliance@giantpartners.com,www.giantpartners.com,Yes,"The methods for requesting to opt out are: 1) Email directly to compliance@giantpartners.com to request to be removed/opt-out; 2) Fill out a removal/opt-out request via the following link, https://giantpartners.com/personal-information-request/; 3) Call our corporate office at 805-267-1575 and request to opt out.",N/A,"Yes, as long as they have legally retained and given authorization for a third party to do so.",None,None,0,0,No,,Nothing additional.
"Ivy Tech RE, LLC d/b/a Ivy Data",371722,ACTIVE,Data Broker,5/14/2020,1/1/2021,2/1/2021,"539 Broadway, Tacoma, WA, 98402, USA",kyle@getivydata.com,www.getivydata.com,Yes,"Only for California residents, Ivy Data has implemented a ""Do Not Sell My Personal Information"" button its website www.getivydata.com.",N/A,"Yes, but only for California residents.",California residents may opt out of Ivy Data's data brokerage services. No other consumers may opt out.,Ivy Data does not implement a purchaser credentialing process.,0,0,No,,
"M1 Data & Analytics, LLC",372391,ACTIVE,Data Broker,6/2/2020,1/1/2021,2/1/2021,"1000 NW 65th Street, Suite 200, Fort Lauderdale, FL, 33309, USA",gashe@m1-data.com,www.m1-data.com,Yes,"Consumers may request an opt-out from M1 Data via telephone, e-mail, or directly on our website.","All opt-out requests covers all data related to the individual, unless otherwise specified by the consumer.",Yes. However this is restricted to immediate family member or legal representative.,"M1 Data places no restrictions on the type of data collection, databases or sales activities from which consumers may opt-out. The procedures for consumers to opt-out are detailed on our website. Consumers may request an opt-out from M1 Data via telephone, e-mail, or directly on our website.",M1 Data does employ a purchaser credentialing process to verify that each of its clients is a legitimate business seeking to purchase or license data for a legitimate business purpose and not for purposes of locating or targeting a specific individual.,0,0,No,,
"NetWise Data, LLC",372803,ACTIVE,Data Broker,6/10/2020,1/1/2021,2/1/2021,"350 Camino Gardens Blvd, Suite 202, Boca Raton, FL, 33432, USA",privacy@netwisedata.com,https://www.netwisedata.com,Yes,https://www.netwisedata.com/consumer-privacy,The opt-out applies to all activities and sales other than retaining the personal information on an internal basis as necessary to track opt-out preferences.,Yes if we can reasonably validate that the authorization has been provided to said third party.,NetWise retains personal information necessary to track opt-out preferences only as needed for that relevant business purpose.,"NetWise takes all reasonable steps to confirm that our customers are who they say they are, will be using the data collected for the legal purposes they contract to use it for, and will not use the data for unlawful purposes.",0,0,No,,https://www.netwisedata.com/privacy
Social Catfish LLC,372914,ACTIVE,Data Broker,6/12/2020,1/1/2021,2/1/2021,"38770 Sky Canyon Dr, Suite A, Murrieta, CA, 92563, USA",august@socialcatfish.com,https://socialcatfish.com/,Yes,"https://socialcatfish.com/opt-out/ Also, a consumer can opt out by calling 1-844-422-8347 or emailing welcome@socialcatfish.com and provide the links and information they want removed. A user can also opt out by sending a letter to 39252 Winchester Rd, STE 107 #228, Murrieta, CA 92563. Consumers can also opt out of emails by clicking on the opt-out link at the bottom of the email.",A consumer may opt out of ALL activities.,Yes,There are not any activities which a consumer may not opt out of. A consumer may opt out of all activities at their discretion.,"Yes, we doo have a purchaser credentialing process in place. We require users to select reasons(s) as to how they're using the service. They also have to agree that they won't use our service for anything illegal or anything that requires FCRA guidelines including credit screening, tenant screening, insurance, and credit reporting before they can access the data.",0,0,No,,
InsideView,373753,ACTIVE,Data Broker,6/30/2020,1/1/2021,2/1/2021,"444 DeHaro Street, San Francisco, CA, 94107, USA",privacy@insideview.com,www.insideview.com,Yes,Individuals may email us or use the links provided on our website.  Our privacy policy provides additional information.,Individuals can opt-out from individual or all activities.,"Yes, provided we are able to verify the authorization.",Individuals are not limited and may op-out from any or all such items.,"All subscribers to our services are required to enter a contract with us governing their use, limitations and responsibilities regarding our service.  Most customers sign our Terms of Use which can be viewed at our website.",0,0,No,,See privacy policy.
MONOCL,373866,ACTIVE,Data Broker,7/2/2020,1/1/2021,2/1/2021,"222 THIRD ST #3130, CAMBRIDGE, MA, 02142, USA",PRIVACY@MONOCL.COM,WWW.MONOCL.COM,Yes,"Any Expert (medical, scientific, and healthcare professionals and academics) may opt out by contacting us by email at privacy@monocl.com. Please read our Expert Privacy Policy to understand what information we collet and sell: https://www.monocl.com/privacy/expert-privacy-policy/","An Expert (medical, scientific, and healthcare professionals and academics) may opt out as it relates to personally identifiable information which is not publicly available information that is lawfully made available to the general public from federal, State, or local government records.",An Expert can authorize a third party to perform the opt out on the Expert's behalf only where the Expert has supplied a signed affidavit giving the third party authority to request an opt out.,None. An Expert can opt out for applicable data as described above and according the the Vermont Law.,"Yes, all Monocl customers are required to have contractual agreements with Monocl in order to have the access to the Monocl Platform that contains the Expert information. All users of the customer must have a user account with credentials such as name, email, and company name.",0,0,No,,No
"HD Information, LLC",374018,ACTIVE,Data Broker,7/7/2020,1/1/2021,2/1/2021,"9901 Linn Station Rd., Suite 500, Louisville, KY, 40223, USA",HDI_support@hygenicsdata.com,https://hygenicsdata.com/,No,,,,See HD Information Privacy Policy for more information: https://hygenicsdata.com/privacy-policy/,"HD Information, LLC implements a customer credentialing process.",0,0,No,,See HD Information Privacy Policy for more information: https://hygenicsdata.com/privacy-policy/
"New England List Services, Inc",374052,ACTIVE,Data Broker,7/8/2020,1/1/2021,2/1/2021,"171 Mountain View Rd, Danville, VT, 05828, USA",dave@nelists.com,www.nelists.com,Yes,"Individuals should send an e-mail to dave@nelists.com and provide their name, address, city, state and zip code. We will search our database to see if that individual is there and if so delete them and their informatiton.",All,Yes,All.,Yes,0,0,No,,"We most often act as a broker between the list owner and the marketer. The information we collect is namde, address, city, state, zip and a phone number."
"Foursquare Labs, Inc.",374136,ACTIVE,Data Broker,7/9/2020,1/1/2021,2/1/2021,"50 W 23rd Street, 8th Floor, New York, NY, 10010, USA",legal@foursquare.com,www.foursquare.com,Yes,"Consumers may opt out from the sale of their data by calling our toll free number or submitting a request online. Consumers may further opt out of our databases by submitting a deletion request and if we are able to verify/authenticate the consumer, we will delete that consumer's data from our systems.",Opt out will apply to all.,"Yes, a consumer may use an authorized agent to submit any request. We require that the authorized agent provide a notarized power of attorney.","We may delay an opt out if it is required as part of an active investigation or litigation. However, upon completion of the investigation or litigation, we will delete data that is no longer required.",N/A,0,0,Yes,We do not knowingly collect data about consumers who are under the age of 16. We require that consumers who create accounts with our consumer services be at least 16 years or age and we require any suppliers that license data to us only provide data belonging to consumers who are 16 and older. Any consumer can request a deletion of their data and/or opt out from the sale of their data.,
"People Data Labs, Inc.",375634,ACTIVE,Data Broker,8/10/2020,1/1/2021,2/1/2021,"455 Market Street, Suite 1690, San Francisco, CA, 94105, USA",privacy@peopledatalabs.com,www.peopledatalabs.com,Yes,https://www.peopledatalabs.com/opt-out-form,"Anyone globally can opt-out, including in any US State. An opt-out applies to all activities.",We are still working through potential workflows here and are open to it. We are also curious your opinion here as to what is suggested.,"A consumer can opt-out of all activities. Once a consumer opts out, they are removed from our database completely.","Yes, we only permit legitimate businesses to use our data for legitimate, white-hat use cases such as personalizing education/learning, recruiting, anti-fraud, and other good use cases.",0,0,No,,
RPMDirect LLC,376700,ACTIVE,Data Broker,9/1/2020,1/1/2021,2/1/2021,"24 Arnett Ave, suite 100, Lambertville, NJ, 08530, USA",Privacy@exlservice.com,https://www.exlservice.com/privacy-policy,Yes,"A Consumer may contact us by email,  toll free phone at 1-855-760-3562 or on the internet at https://www.exlservice.com/privacy-policy.  Our privacy web page includes a Consumer Data Request From and “Do Not Sell My Data”  Button.",The sale of 3rd party non FCRA regulated data.,Yes,They may not opt out of the sale of Third Party FCRA regulated data or data considered to be in the public domain.,"RPM Direct resells data, provided by 3rd party data providers to insurance, health, and financial service companies. All clients go thru a credentialing process as part of the onboarding process.",0,0,No,,RPM Direct LLC is a wholly owned subsidiary of EXLService Holdings Inc.  RPM Direct does not collect any data directly from consumers. RPM Direct is a reseller of  FCRA regulated data and non FCRA regulated data provided by third party data providers.
RPM Data Solutions LLC,376846,ACTIVE,Data Broker,9/3/2020,1/1/2021,2/1/2021,"24 Arnett Avenue, Suite 100, Lambertville, NJ, 08530, USA",Privacy@exlservice.com,https://www.exlservice.com/privacy-policy,Yes,"RPM Data Solutions is a wholly owned subsidiary of EXLService Holdings. A Consumer may contact us by email,  toll free phone at 1-855-760-3562 or on the internet at https://www.exlservice.com/privacy-policy.  Our privacy web page includes a Consumer Data Request From and “Do Not Sell My Data”  Button.",The sale of 3rd party  non FCRA data.,Yes,They may not opt out of the sale of Third Party FCRA data or data considered to be in the public domain.,"RPM Data Solutions resells data, provided by 3rd party data providers, to insurance, health, and financial service companies.  These companies are credentialed as part of the onboarding process.",0,0,No,,RPM Data Solutions LLC is a wholly owned subsidiary of EXLService Holdings Inc.  RPM Direct does not collect any data directly from consumers. RPM Direct is a reseller of  FCRA regulated data and non FCRA regulated data provided by third party data providers.
"KnowWho, Inc.",379810,ACTIVE,Data Broker,11/9/2020,1/1/2021,2/1/2021,"PO Box 62, Mount Vernon, VA, 22121 - 0062, USA",bbrownson@knowwho.com,www.knowwho.com,Yes,via online or email or phone call,All,Yes,All,Yes,0,0,No,,"50-years in business, specializing in data primarily on federal, state and local elected officials"
"Twine Data, Inc",352492,EXPIRED,Data Broker,1/24/2019,1/1/2020,2/1/2020,"555 W 5th Street, 35th Floor, Los Angeles, CA, 90013, USA",bmorgan@twinedata.com,www.twinedata.com,Yes,1) We ask our data providers to send us opt outs2) Users may fill out a form with their email address and/or mobile ad ID. We manually search for this info in our database and let the user know if their data is present. They then have the option of blocking themselves.,It applies to everything,"If a third party uses our form on behalf of the user, then yes.",Users may opt out of all data collection and sharing. We only retain info that is necessary to prevent later re-import.,"We vet each client carefully, including intended uses of data.",0,0,Yes,We may collect small amounts of audience profile data on 13-17 year old users. This data is subject to the same vetting as with all our data.,All our data providers are required to complete a privacy disclosure and to rep and warrant that they have followed all laws and regulations around notice and choice in collecting and sharing data.
Viant Technology LLC,352721,EXPIRED,Data Broker,1/29/2019,1/1/2020,2/1/2020,"4 Park Plaza, Suite 1500, Irvine, CA, 92614, USA",bnojima@viantinc.com,www.viantinc.com,Yes,"https://optout.aboutads.info,  https://optout.networkadvertising.org, and using our opt-out cookie available through our privacy policies https://www.viantinc.com/privacy-policy/ and https://www.adelphic.com/privacy-policy/",interest-based advertising,"Yes, if the third-party is opting out from the consumer's device.","We combine the information collected across multiple sites, mobile apps, and from our partners in order to create interest segments that help us target future advertisements based upon those inferred interests. This combined information may also include whether you engaged with specific content or ads; and whether you went on to visit an advertiser’s website, downloaded an advertiser’s app, purchased a product or service advertised, or took other actions.",We impose contractual restrictions on our business partners that prevent them from using any personal information outside of our contractual agreement and require they return the personal information to us at the conclusion of the contractual relationship.,0,0,Yes,"We do not knowingly collect information of minors, and we contractually prohibit partners from transferring it to us.",A more complete explanation is available at https://www.viantinc.com/privacy-policy/ and https://www.adelphic.com/privacy-policy/.
"The Lead Company, Inc.",352970,EXPIRED,Data Broker,2/4/2019,1/1/2020,2/1/2020,"6757 Cascade Road SE, #205, Grand Rapids, MI, 49546, USA",dave@lead.co,www.lead.co,Yes,A consumer can request to opt-out at anytime by emailing contact@lead.co and providing his or her email address and/or phone number.,Any opt-out received by our office opts the consumer out of all products offered.,The consumer or someone legally authorized to act on their behalf may request an opt-out.,"The Lead Company, Inc. operates within the insurance space and processes opt-outs as they are requested.","The Lead Company, Inc. does not have a ""purchaser credentialing processs"" at this time as it does not currently apply to our business model.",0,0,Yes,"The Lead Company, Inc. does not collect information for individuals under the age of 18.",None.
Strategic Information Resources,353630,EXPIRED,Data Broker,2/19/2019,1/1/2020,2/1/2020,"59 Bobala Rd, Holyoke, MA, 01040, USA",jdrziak@strategicinfo.com,www.strategicinfo.com,Yes,See attached.,See attached.,See attached.,See attached.,See attached.,0,0,Yes,See attached.,See attached.
"Valassis Direct Mail, Inc",353982,EXPIRED,Data Broker,1/28/2019,1/1/2020,2/1/2020,"235 Great Pond Drive, Windsor, VT, 06095, USA",datalicensing@valassis.com,www.valassis.com,Yes,"Enhanced Data (internal data that is enhanced for distribution) – opt out availableUpon request from a consumer to have an address removed from the distribution list of the RetailMeNot Everyday package distributed by Valassis, Valassis will apply a Do Not Deliver (“DND”) flag for that address.  The DND is applied for 5 years.Enhanced Data lists that are acquired in mail ready format will not include the DND addresses.  Other lists may include the DND addresses but those addresses will includeThird-Party Data – opt out unavailable",Enhanced Data – Addresses containing a DND flag will be removed from the lists in mail ready format as described above.  This will also discontinue mailings of the RetailMeNot Everyday Direct Mail package to the address. It takes approximately 6 weeks for mailings to stop. The DND is applied for 5 years.Third-Party Data – N/A,"Enhanced Data – It is required that the resident personally submit a request to be removed from the Valassis database, and not a third party on their behalf.List users are generally required to maintain their own Do Not Mail list. Third-Party Data – N/A","Enhanced Data – It is required that the consumer personally submit a request to be removed from distribution, and not a third party on their behalf.  DND flags are applied as discussed above.Third-Party Data – It is the responsibility of the advertiser/marketer to maintain a suppression or opt-out list","List users are required to limit usage which is generally a one-time mailing use for the specific advertisement, merchandise or service permitted under the agreement with the list user.",0,0,Yes,N/A,N/A
"Tracers Information Specialists, Inc.",354246,EXPIRED,Data Broker,3/6/2019,1/1/2020,2/1/2020,"15740 Flight Path Dr., Brooksville, FL, 34604 - 6823, USA",compliance@tracersinfo.com,www.tracersinfo.com,No,,,,N/A,We implement a credentialing process for all of our purchasers.  There are multiple points of verification that we conduct and track and that a purchaser must meet prior to being given access to information.,0,0,Yes,We do not have actual knowledge that we possess brokered personal information of minors.,N/A
Xcelerated Data LLC,366203,EXPIRED,Data Broker,12/20/2019,1/1/2020,2/1/2020,"2940 Hebron Park Dr, Ste 208, Hebron, KY, 41048, USA",privacy@xcelerated.com,www.xcelerated.com,Yes,Link to email; or mail;,N/A,no,Consumer may opt out of all of the data we maintain,"Yes, matching the data we maintain",0,0,No,,
"Tracers Information Specialists, Inc.",366895,ACTIVE,Data Broker,1/10/2020,1/1/2021,2/1/2021,"15740 Flight Path dr, Brooksville, FL, 34604, USA",david.shortt@tracersinfo.com,www.tracersinfo.com,No,,,,N/A,We have a credentialing process for all of our purchasers. There are multiple points of verification that we conduct and track. Purchaser must meet certain prior to being given access to information.,0,0,No,,N/A
Xome Leads LLC,364524,CANCELLED,Data Broker,11/4/2019,1/1/2021,2/1/2021,"750 Highway 121 Bypass, Suite 100, Lewisville, TX, 75067, USA",licensing@xome.com,www.eleadz.com,Yes,"An email or call currently; however, we are in process of implementing OneTrust link to the site.",N/A,N/A,N/A,N/A,0,0,No,,We are not a consumer facing website.
Xome Inc.,364797,ACTIVE,Data Broker,11/12/2019,1/1/2021,2/1/2021,"750 Highway 121 Bypass, Suite 100, Lewisville, TX, 75067, USA",licensing@xome.com,www.xome.com,No,,,,"All data, it consists of publicly available content.","No, due to the publicly available nature of the data.",0,0,No,,All data in use is provided by third parties and publicly available.
